name,inn,legal_person,category,region,description,РРАР_score,site,contacts,source
ARS MAGNA,7842091139,"ООО ""БТЛ РЕГИОН""",BTL агентства,Москва,"Агентство ARS MAGNA специализируется на разработке и проведении масштабных активаций в области торгового и потребительского маркетинга, а также на комплексной организации мероприятий и поддержке в цифровой среде.",460,https://btl-agency.ru/,"7 (499) 677-54-32, client@btl-agency.ru",https://alladvertising.ru/top/btl/
emg,7701810493,ООО «ЭМГ»,BTL агентства,Москва,"emg — одно из крупнейших российских агентств, занимающееся организацией интегрированных маркетинговых коммуникаций, масштабных BTL-акций, рекламных и PR-кампаний.",1202,https://emg.ru/,"7 (495) 797-86-64, emg@emg.ru",https://alladvertising.ru/top/btl/
OPEN Group,7725693725,"ООО ""ОУПЕН МСК""",BTL агентства,Москва,"Агентство маркетинговых коммуникаций OPEN специализируется в области немедийных коммуникаций и предоставляет полный комплекс интегрированных маркетинговых услуг: мерчандайзинг и промо-активности в местах продаж, торговый маркетинг, организация мероприятий, продвижение в digital-среде. Агентство активно внедряет инновационные технологии в управление персоналом и мерчандайзинг.",1571,https://open-com.ru/,"7 (499) 649-00-80, sales@open-com.ru",https://alladvertising.ru/top/btl/
Creon ,7734366435,"ООО ""СИ ДЖИ СИ""",BTL агентства,Москва,"Агентство CREON реализует проекты в сфере рекламы и маркетинга: разрабатывает креативные концепции, организует масштабные федеральные и локальные BTL-мероприятия, реализует NCP-проекты, интегрирует бренды в мероприятия и т.д.",722,https://creon-cg.com/,"7 (499) 372-32-31, info@creon-cg.com",https://alladvertising.ru/top/btl/
BM Group,9709070396,"ООО ""БИЭМ ГРУПП ИНТЕГРАТОР""",BTL агентства,Москва,"Компания занимается разработкой и производством инновационных средств коммуникации, интерактивного и проекционного оборудования, сенсорных киосков, выставочных стендов и мультимедийных решений для презентаций.",700,https://bm-technology.ru/,"7 (495) 150-16-14, info@bm-technology.ru",https://alladvertising.ru/top/btl/
N:OW ,7707373225,"ООО ""НАУ""",BTL агентства,Москва,"Агентство «N:OW» оказывает весь комплекс услуг в области коммуникаций и событийного маркетинга — от исследований, разработки идей, сценариев и механик, до организации мероприятий и полной интеграции брендов в крупные события.",555,https://now-agency.ru/,"7 953 435-91-63, hello@now-agency.ru",https://alladvertising.ru/top/btl/
Sport Media Alliance,7839393820,"ООО ""СПОРТМЕДИАГРУПП""",BTL агентства,Санкт-Петербург,"SMA — федеральный оператор по размещению рекламы на территории фитнес-клубов. Кроме того, агентство оказывает услуги по проведению промо-акций, семплингов, лифлетингов; организации нестандартных рекламных кампаний на территории фитнес-сетей и спортивных клубов в крупнейших городах России.",720,https://sma-russia.ru/,"7 (812) 644-60-44,  sales@sma-russia.ru",https://alladvertising.ru/top/btl/
АЛИДИ Продвижение,7801379087,"ООО ""АЛИДИ ПРОДВИЖЕНИЕ""",BTL агентства,Москва,"Агентство «АЛИДИ Продвижение» специализируется на маркетинговых и рекламных акциях по продвижению брендов в местах продаж — от разработки креативных концепций и производства POS-материалов до подбора персонала, услуг мерчандайзинга, обеспечения логистики и монтажа оборудования.",700,https://alidi-agency.ru/,"8 800 775-75-00, agency@alidi.ru",https://alladvertising.ru/top/btl/
Ambitica,7701095966,"ООО ""АМБИТИКА МЕДИА ПЛЮС""",BTL агентства,Москва,"Агентство Ambitica занимается организацией рекламных кампаний в торгово-развлекательных и бизнес-центрах: экспонирование автомобилей и размещение нестандартных конструкций, реклама на цифровых экранах и стендах, реклама в холлах и лифтовых кабинах; проведение промо-акций и т.д.",665,https://www.ambitica.ru/,"7 (495) 363-14-14, info@ambitica.ru",https://alladvertising.ru/top/btl/
RI Communication,7825382385,"ООО ""ЭР АЙ КОММУНИКЕЙШН""",BTL агентства,Санкт-Петербург,"Весь спектр услуг в сфере событийного, торгового и потребительского маркетинга на территории России: взаимодействие с торговыми сетями и ведение взаиморасчетов с поставщиками услуг, организация промо-акций и проведение масштабных мероприятий, мотивационные программы, исследование рынка и аудит, разработка креативных сценариев и кадровый аутсорсинг.",665,https://ricommunication.ru/,"7 (495) 846-84-95, info@ricommunication.ru",https://alladvertising.ru/top/btl/
BrandNew ,7703254428,"ООО ""БРЕНДНЬЮ""",BTL агентства,Москва,"Агентство BrandNew предлагает спектр услуг по организации специальных мероприятий для привлечения аудитории и стимулирования продаж: промо-акции, активации, мотивационные программы, спецпроекты в социальных сетях и Digital PR.",563,https://www.brandnew.ru/,"7 (495) 748-59-55, info@progressiongroup.ru",https://alladvertising.ru/top/btl/
Master In,7813604450,"ООО ""МАСТЕР ИН СТРАНА""",BTL агентства,Санкт-Петербург,"Агентство «Мастер Ин» специализируется на проведении рекламных кампаний в бизнес-центрах и ВУЗах по всей России, а также предлагает услуги по организации промо-акций, размещению рекламы на транспорте, распространению печатной рекламной продукции, размещению нестандартных рекламных носителей.",655,https://master-in.ru/,"7 (495) 255-06-07, sale@master-in.ru",https://alladvertising.ru/top/btl/
Progression Group,7725641460,ООО «Прогрешен»,BTL агентства,Москва,"Одна из крупнейших независимых групп на российском рекламном рынке, специализирующаяся на решении стратегических задач в области маркетинга, медиапланирования, BTL и мерчандайзинга, digital-коммуникаций.",1747,https://progressiongroup.ru/,"7 (495) 748-59-60, info@progressiongroup.ru",https://alladvertising.ru/top/btl/
RED Agency,7714871694,"ООО ""РЭД ЭДЖЕНСИ""",BTL агентства,Москва,"Агентство RED — это опытные специалисты российской BTL-индустрии, специализирующиеся на торговом маркетинге, организации промо-акций и мерчендайзинге в ритейле. Компания осуществляет полный спектр услуг в сфере BTL — от разработки стандартов мерчендайзинга, программ лояльности и промо-акций до сложных интегрированных проектов.",595,https://red-agency.ru/,"7 (495) 787-25-87, blue@red-agency.ru",https://alladvertising.ru/top/btl/
Level Agency,9705132370,"ООО ""ЛЕВЕЛ ЭЙДЖЕНСИ""",BTL агентства,Москва,"Event-агентство Level оказывает полный спектр услуг в сфере организации деловых и развлекательных событий, маркетинговых и PR-акций, внутренних и внешних коммуникаций, включая продакшн и продвижение в цифровой среде.",625,https://level-agency.com/,"7 (495) 122-22-69, info@level-agency.com",https://alladvertising.ru/top/btl/
SEVEN ,7725611120,"ООО ""СЕВЕН""",BTL агентства,Москва,"Одно из крупнейших агентств в области трейд-маркетинга на российском рынке, предоставляющее на федеральном уровне комплекс качественных услуг в области полевого маркетинга, мерчандайзинга и размещения POSM.",979,https://7-agency.ru/ru,"7 (495) 748-59-59, info@7-agency.ru",https://alladvertising.ru/top/btl/
POS Management,7730638102,"ООО ""ПИ.О.ЭС. МЕНЕДЖМЕНТ""",BTL агентства,Москва,"Агентство оказывает комплекс услуг в области торгового маркетинга и мерчандайзинга, помогая производителям и дистрибьюторам расширять сеть присутствия и продвигать продукцию в местах продаж.",580,https://posmanagement.ru/,"7 (495) 989-21-56, info@posmanagement.ru",https://alladvertising.ru/top/btl/
Группа АДВ,7725684505,"ООО ""АДВ""",Агентства полного цикла,Москва,"Лидирующая группа маркетинговых коммуникаций в России, предоставляющая широкий спектр компетенций в digtial, медиа, маркетинге, брендинге и PR. Сегодня Группа АДВ объединяет 12 специализированных коммуникационных агентства.",2530,https://advgroup.ru/,"7 (499) 707-07-07,  info@advgroup.ru",https://alladvertising.ru/top/full-service/
Deltaplan,6658162509,"ООО ""РА ДЕЛЬТА-ПЛАН""",Агентства полного цикла,Екатеринбург,"Агентства группы Deltaplan предоставляют полный комплекс рекламных услуг: медиапланирование и размещение рекламы во всех видах медиа; разработка коммуникационных стратегий; креатив и продакшн; брендинг и нейминг; digital-продвижение, немедийные коммуникации, широкоформатная печать.",1105,https://delta-plan.ru/,"7 (343) 222-07-07, office@delta-plan.ru",https://alladvertising.ru/top/full-service/
Восход ,6672302050,"ООО ""РА ВОСХОД""",Агентства полного цикла,Москва,"РА «Восход» — одно из лидирующих креативных агентств России, занимающееся созданием рекламных креативов, разработкой медиастратегий и сценариев для рекламных кампаний, размещением рекламы в Интернет и на ТВ, наружной рекламой.",819,https://voskhod.agency/,"7 (495) 134-06-51, hello@voskhod.agency",https://alladvertising.ru/top/full-service/
